coauthors,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015
1,11511,12157,13013,13591,14953,16368,17227,17905,19929,21903,23473,24395,25786,25784,26276,26788,26536,26127,25805,24111,21675
2,14901,15840,17026,18621,20777,23672,25078,27680,32783,38478,43905,47390,51239,52989,56115,57312,59247,60744,60542,59345,51800
3,7939,8664,10153,11604,13393,15681,17252,20012,24725,30603,36404,41781,45743,49628,53512,55927,59682,63014,65020,65161,58809
4,2909,3297,4107,4831,5677,6828,7904,9465,12289,15812,19764,22572,25544,28678,31657,33934,37188,40356,43156,44748,41483
5,1105,1150,1490,1730,2100,2551,3024,3687,4877,6383,7715,9283,11072,12248,13796,15377,17180,19459,21564,22929,22343
6,433,487,640,707,857,1046,1240,1545,2014,2661,3271,3825,4386,5145,5894,6506,7510,8672,9803,10583,10853
7,202,209,258,287,400,459,588,653,937,1084,1417,1608,1989,2122,2518,2895,3167,3630,4125,4471,4523
8,84,96,159,188,198,237,288,345,472,579,670,842,908,1122,1187,1465,1595,1913,2021,2222,2237
9,51,57,74,83,110,114,163,174,242,322,340,385,525,544,636,778,883,1032,1079,1167,1185
10,28,29,38,55,59,74,117,117,147,181,257,257,300,344,349,522,456,583,651,672,686
11,17,18,23,30,38,46,59,57,76,89,103,161,175,232,240,257,274,341,365,402,371
12,13,12,16,23,16,30,32,35,56,65,88,78,113,118,157,160,189,220,250,257,260
13,12,8,20,15,17,13,20,32,45,51,65,60,83,84,93,112,115,157,166,179,167
14,6,9,7,11,15,11,16,13,31,29,33,43,51,63,71,83,95,106,126,131,126
15,6,6,6,10,10,4,14,16,21,24,27,36,32,45,48,63,80,82,84,91,85
16,1,5,3,9,13,7,6,10,16,14,29,21,31,43,27,38,31,41,51,55,58
17,1,1,4,4,8,6,4,9,8,4,17,20,15,15,18,34,43,40,51,42,54
18,3,1,3,1,3,6,3,3,9,10,13,17,11,18,19,16,22,27,38,42,35
19,0,1,3,3,1,1,6,3,7,3,11,7,16,14,9,25,21,18,31,21,24
20,0,1,3,2,2,1,1,0,6,6,11,8,9,18,17,12,20,20,20,24,29
21,2,3,0,3,0,2,4,5,10,7,7,5,1,8,8,14,19,15,16,19,22
22,1,0,2,2,2,1,1,0,10,4,4,4,4,9,6,5,12,13,14,16,27
23,0,0,0,2,0,3,0,0,3,4,8,5,4,1,6,7,9,5,13,15,15
24,2,0,0,0,1,0,0,2,3,5,2,4,3,7,6,8,10,7,12,11,9
25,0,0,1,2,1,1,0,3,2,2,3,1,7,5,5,4,5,6,8,10,7
26,0,0,1,1,1,0,0,1,2,2,4,2,0,6,4,3,3,6,6,14,5
27,0,3,0,1,0,0,0,1,2,1,3,4,3,5,4,2,9,8,8,7,4
28,0,0,0,1,0,1,1,0,2,1,4,3,2,1,4,1,7,8,7,11,5
29,1,0,0,0,1,0,1,0,5,0,3,0,4,3,2,5,3,3,2,5,5
30,0,0,0,0,0,0,2,0,2,2,3,3,2,0,3,3,3,3,2,12,7
31,0,0,0,0,1,0,0,3,1,1,2,2,0,0,0,0,2,3,2,1,2
32,0,1,0,1,0,2,0,0,1,1,1,1,1,0,0,4,3,4,6,0,3
33,1,0,0,0,0,0,0,0,1,1,0,1,0,3,3,4,4,3,1,3,1
34,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,4,1,1,3,1,4
35,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,1,3,1,0
36,0,0,0,0,0,1,0,0,3,0,0,0,2,2,0,0,0,2,1,2,1
37,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,2,2,2,1,1,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,2,1,1
39,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,2,0,0,1
40,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1
42,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,1,0,1,0
43,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0
44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
48,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
51,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0
58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
